Contiguous U.S. Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
189501,26.69,-3.90
189502,26.60,-7.27
189503,39.97,-1.83
189504,52.90,1.64
189505,59.94,-0.47
189506,67.80,-0.99
189507,71.24,-2.59
189508,71.62,-0.72
189509,65.57,0.40
189510,50.85,-3.36
189511,39.16,-2.84
189512,31.71,-1.34
189601,31.48,0.89
189602,35.04,1.17
189603,38.03,-3.77
189604,52.34,1.08
189605,62.46,2.05
189606,69.89,1.10
189607,73.69,-0.14
189608,72.27,-0.07
189609,62.94,-2.23
189610,51.91,-2.30
189611,38.32,-3.68
189612,35.55,2.50
189701,28.17,-2.42
189702,33.39,-0.48
189703,38.79,-3.01
189704,51.15,-0.11
189705,61.18,0.77
189706,68.11,-0.68
189707,73.36,-0.47
189708,71.35,-0.99
189709,66.40,1.23
189710,55.11,0.90
189711,40.91,-1.09
189712,30.76,-2.29
189801,30.67,0.08
189802,35.37,1.50
189803,41.05,-0.75
189804,50.79,-0.47
189805,59.94,-0.47
189806,69.31,0.52
189807,73.29,-0.54
189808,72.75,0.41
189809,65.46,0.29
189810,51.49,-2.72
189811,38.39,-3.61
189812,28.67,-4.38
189901,29.68,-0.91
189902,25.50,-8.37
189903,37.63,-4.17
189904,50.61,-0.65
189905,59.90,-0.51
189906,68.65,-0.14
189907,73.08,-0.75
189908,71.74,-0.60
189909,64.80,-0.37
189910,53.98,-0.23
189911,44.92,2.92
189912,31.62,-1.43
190001,34.11,3.52
190002,30.76,-3.11
190003,41.27,-0.53
190004,51.60,0.34
190005,61.74,1.33
190006,70.30,1.51
190007,73.13,-0.70
190008,72.86,0.52
190009,65.14,-0.03
190010,56.35,2.14
190011,41.54,-0.46
190012,34.48,1.43
190101,31.62,1.03
190102,29.86,-4.01
190103,40.71,-1.09
190104,49.39,-1.87
190105,61.18,0.77
190106,68.43,-0.36
190107,76.24,2.41
190108,73.20,0.86
190109,63.25,-1.92
190110,55.45,1.24
190111,41.68,-0.32
190112,31.48,-1.57
190201,30.06,-0.53
190202,31.46,-2.41
190203,41.58,-0.22
190204,50.85,-0.41
190205,61.99,1.58
190206,68.04,-0.75
190207,72.05,-1.78
190208,71.37,-0.97
190209,62.76,-2.41
190210,54.43,0.22
190211,43.68,1.68
190212,30.79,-2.26
190301,30.88,0.29
190302,28.42,-5.45
190303,42.21,0.41
190304,50.22,-1.04
190305,59.54,-0.87
190306,65.89,-2.90
190307,71.92,-1.91
190308,70.97,-1.37
190309,62.73,-2.44
190310,53.94,-0.27
190311,40.23,-1.77
190312,30.54,-2.51
190401,27.55,-3.04
190402,31.59,-2.28
190403,41.76,-0.04
190404,49.46,-1.80
190405,60.13,-0.28
190406,67.26,-1.53
190407,71.35,-2.48
190408,70.72,-1.62
190409,64.96,-0.21
190410,53.92,-0.29
190411,43.14,1.14
190412,32.02,-1.03
190501,27.10,-3.49
190502,26.94,-6.93
190503,45.12,3.32
190504,50.49,-0.77
190505,59.14,-1.27
190506,68.00,-0.79
190507,71.98,-1.85
190508,72.37,0.03
190509,65.95,0.78
190510,51.64,-2.57
190511,42.24,0.24
190512,30.99,-2.06
190601,32.88,2.29
190602,33.69,-0.18
190603,36.10,-5.70
190604,52.72,1.46
190605,59.58,-0.83
190606,67.32,-1.47
190607,72.36,-1.47
190608,71.85,-0.49
190609,66.25,1.08
190610,52.54,-1.67
190611,40.44,-1.56
190612,34.97,1.92
190701,30.69,0.10
190702,35.46,1.59
190703,45.70,3.90
190704,47.53,-3.73
190705,55.89,-4.52
190706,65.70,-3.09
190707,72.52,-1.31
190708,70.79,-1.55
190709,64.22,-0.95
190710,53.78,-0.43
190711,40.82,-1.18
190712,34.70,1.65
190801,32.45,1.86
190802,33.01,-0.86
190803,43.92,2.12
190804,52.75,1.49
190805,58.82,-1.59
190806,66.92,-1.87
190807,73.18,-0.65
190808,70.68,-1.66
190809,65.59,0.42
190810,51.76,-2.45
190811,42.53,0.53
190812,33.31,0.26
190901,32.31,1.72
190902,35.02,1.15
190903,40.35,-1.45
190904,48.96,-2.30
190905,58.14,-2.27
190906,68.94,0.15
190907,72.63,-1.20
190908,72.93,0.59
190909,64.40,-0.77
190910,52.88,-1.33
190911,45.03,3.03
190912,25.61,-7.44
191001,29.61,-0.98
191002,29.30,-4.57
191003,49.44,7.64
191004,53.62,2.36
191005,59.22,-1.19
191006,68.29,-0.50
191007,74.12,0.29
191008,71.11,-1.23
191009,65.68,0.51
191010,55.62,1.41
191011,41.13,-0.87
191012,31.93,-1.12
191101,32.90,2.31
191102,33.66,-0.21
191103,44.02,2.22
191104,50.00,-1.26
191105,61.21,0.80
191106,70.75,1.96
191107,72.68,-1.15
191108,70.90,-1.44
191109,66.09,0.92
191110,52.66,-1.55
191111,37.27,-4.73
191112,32.20,-0.85
191201,24.76,-5.83
191202,31.08,-2.79
191203,35.76,-6.04
191204,50.58,-0.68
191205,60.48,0.07
191206,66.70,-2.09
191207,72.25,-1.58
191208,70.12,-2.22
191209,62.73,-2.44
191210,53.17,-1.04
191211,42.21,0.21
191212,32.95,-0.10
191301,30.47,-0.12
191302,29.50,-4.37
191303,38.71,-3.09
191304,51.39,0.13
191305,60.13,-0.28
191306,68.22,-0.57
191307,73.00,-0.83
191308,73.36,1.02
191309,63.64,-1.53
191310,51.64,-2.57
191311,45.12,3.12
191312,33.33,0.28
191401,34.50,3.91
191402,29.52,-4.35
191403,40.75,-1.05
191404,51.04,-0.22
191405,61.14,0.73
191406,69.35,0.56
191407,74.08,0.25
191408,71.69,-0.65
191409,64.58,-0.59
191410,55.24,1.03
191411,43.41,1.41
191412,26.78,-6.27
191501,28.44,-2.15
191502,35.94,2.07
191503,36.95,-4.85
191504,54.57,3.31
191505,58.17,-2.24
191506,66.07,-2.72
191507,71.01,-2.82
191508,70.16,-2.18
191509,64.42,-0.75
191510,55.35,1.14
191511,43.11,1.11
191512,33.17,0.12
191601,28.22,-2.37
191602,33.03,-0.84
191603,42.15,0.35
191604,50.25,-1.01
191605,59.31,-1.10
191606,66.31,-2.48
191607,74.28,0.45
191608,71.82,-0.52
191609,63.50,-1.67
191610,52.14,-2.07
191611,40.23,-1.77
191612,28.94,-4.11
191701,28.27,-2.32
191702,30.09,-3.78
191703,38.35,-3.45
191704,48.63,-2.63
191705,55.13,-5.28
191706,66.97,-1.82
191707,74.61,0.78
191708,71.02,-1.32
191709,64.09,-1.08
191710,50.41,-3.80
191711,43.54,1.54
191712,29.64,-3.41
191801,23.86,-6.73
191802,33.82,-0.05
191803,45.75,3.95
191804,49.03,-2.23
191805,60.80,0.39
191806,71.15,2.36
191807,72.45,-1.38
191808,72.50,0.16
191809,61.92,-3.25
191810,56.17,1.96
191811,40.51,-1.49
191812,34.45,1.40
191901,31.82,1.23
191902,32.25,-1.62
191903,40.89,-0.91
191904,51.35,0.09
191905,60.03,-0.38
191906,69.30,0.51
191907,74.35,0.52
191908,72.27,-0.07
191909,65.64,0.47
191910,52.59,-1.62
191911,39.31,-2.69
191912,28.78,-4.27
192001,29.23,-1.36
192002,33.69,-0.18
192003,40.28,-1.52
192004,46.78,-4.48
192005,59.31,-1.10
192006,67.37,-1.42
192007,72.70,-1.13
192008,70.63,-1.71
192009,65.44,0.27
192010,54.63,0.42
192011,39.70,-2.30
192012,33.13,0.08
192101,34.36,3.77
192102,36.90,3.03
192103,46.63,4.83
192104,51.01,-0.25
192105,60.10,-0.31
192106,70.36,1.57
192107,74.66,0.83
192108,72.03,-0.31
192109,66.54,1.37
192110,55.35,1.14
192111,42.58,0.58
192112,35.08,2.03
192201,26.80,-3.79
192202,31.95,-1.92
192203,40.42,-1.38
192204,50.31,-0.95
192205,61.18,0.77
192206,70.14,1.35
192207,73.00,-0.83
192208,72.81,0.47
192209,67.28,2.11
192210,55.02,0.81
192211,41.86,-0.14
192212,33.55,0.50
192301,34.59,4.00
192302,29.57,-4.30
192303,38.30,-3.50
192304,49.91,-1.35
192305,59.52,-0.89
192306,68.04,-0.75
192307,73.76,-0.07
192308,71.11,-1.23
192309,65.07,-0.10
192310,51.24,-2.97
192311,42.58,0.58
192312,35.98,2.93
192401,26.26,-4.33
192402,35.19,1.32
192403,37.18,-4.62
192404,50.27,-0.99
192405,57.90,-2.51
192406,68.59,-0.20
192407,71.89,-1.94
192408,72.07,-0.27
192409,62.74,-2.43
192410,54.97,0.76
192411,42.40,0.40
192412,27.59,-5.46
192501,29.08,-1.51
192502,38.30,4.43
192503,44.24,2.44
192504,54.72,3.46
192505,60.01,-0.40
192506,69.84,1.05
192507,74.14,0.31
192508,71.40,-0.94
192509,66.67,1.50
192510,48.92,-5.29
192511,40.41,-1.59
192512,32.50,-0.55
192601,30.31,-0.28
192602,37.67,3.80
192603,39.65,-2.15
192604,50.04,-1.22
192605,61.02,0.61
192606,68.20,-0.59
192607,73.36,-0.47
192608,72.34,0.00
192609,64.11,-1.06
192610,54.95,0.74
192611,40.46,-1.54
192612,31.33,-1.72
192701,31.55,0.96
192702,37.90,4.03
192703,42.26,0.46
192704,51.58,0.32
192705,59.76,-0.65
192706,67.21,-1.58
192707,72.68,-1.15
192708,69.37,-2.97
192709,64.98,-0.19
192710,55.90,1.69
192711,44.35,2.35
192712,28.22,-4.83
192801,31.98,1.39
192802,34.34,0.47
192803,43.12,1.32
192804,48.06,-3.20
192805,61.52,1.11
192806,65.91,-2.88
192807,73.40,-0.43
192808,71.82,-0.52
192809,63.27,-1.90
192810,55.08,0.87
192811,41.58,-0.42
192812,32.94,-0.11
192901,26.31,-4.28
192902,26.92,-6.95
192903,43.56,1.76
192904,51.17,-0.09
192905,58.86,-1.55
192906,67.50,-1.29
192907,73.60,-0.23
192908,72.63,0.29
192909,63.41,-1.76
192910,53.92,-0.29
192911,38.41,-3.59
192912,33.96,0.91
193001,23.54,-7.05
193002,40.10,6.23
193003,40.41,-1.39
193004,54.41,3.15
193005,59.23,-1.18
193006,68.41,-0.38
193007,75.04,1.21
193008,72.90,0.56
193009,65.75,0.58
193010,51.69,-2.52
193011,41.09,-0.91
193012,31.17,-1.88
193101,32.99,2.40
193102,37.94,4.07
193103,39.42,-2.38
193104,51.06,-0.20
193105,59.43,-0.98
193106,70.70,1.91
193107,75.81,1.98
193108,71.96,-0.38
193109,68.13,2.96
193110,56.57,2.36
193111,43.38,1.38
193112,35.06,2.01
193201,31.55,0.96
193202,36.70,2.83
193203,37.36,-4.44
193204,51.60,0.34
193205,60.51,0.10
193206,69.24,0.45
193207,74.10,0.27
193208,72.57,0.23
193209,64.69,-0.48
193210,52.32,-1.89
193211,40.75,-1.25
193212,29.41,-3.64
193301,34.30,3.71
193302,29.59,-4.28
193303,41.83,0.03
193304,49.84,-1.42
193305,59.83,-0.58
193306,71.56,2.77
193307,75.13,1.30
193308,71.92,-0.42
193309,67.73,2.56
193310,55.20,0.99
193311,42.53,0.53
193312,36.43,3.38
193401,35.08,4.49
193402,34.32,0.45
193403,42.78,0.98
193404,53.74,2.48
193405,64.71,4.30
193406,70.68,1.89
193407,76.37,2.54
193408,73.53,1.19
193409,63.84,-1.33
193410,56.52,2.31
193411,45.01,3.01
193412,32.67,-0.38
193501,31.51,0.92
193502,36.01,2.14
193503,43.61,1.81
193504,49.71,-1.55
193505,57.33,-3.08
193506,67.64,-1.15
193507,75.13,1.30
193508,72.99,0.65
193509,64.80,-0.37
193510,53.80,-0.41
193511,39.49,-2.51
193512,30.74,-2.31
193601,27.36,-3.23
193602,25.23,-8.64
193603,43.43,1.63
193604,50.22,-1.04
193605,63.46,3.05
193606,70.61,1.82
193607,76.80,2.97
193608,74.59,2.25
193609,66.36,1.19
193610,53.49,-0.72
193611,39.81,-2.19
193612,34.47,1.42
193701,24.84,-5.75
193702,31.73,-2.14
193703,38.84,-2.96
193704,50.11,-1.15
193705,61.93,1.52
193706,68.79,0.00
193707,74.59,0.76
193708,74.66,2.32
193709,65.70,0.53
193710,53.89,-0.32
193711,40.82,-1.18
193712,32.70,-0.35
193801,32.14,1.55
193802,36.00,2.13
193803,45.01,3.21
193804,51.73,0.47
193805,59.85,-0.56
193806,68.77,-0.02
193807,73.78,-0.05
193808,73.72,1.38
193809,66.63,1.46
193810,56.41,2.20
193811,39.94,-2.06
193812,34.21,1.16
193901,33.91,3.32
193902,29.98,-3.89
193903,42.51,0.71
193904,51.53,0.27
193905,62.71,2.30
193906,68.86,0.07
193907,74.88,1.05
193908,72.64,0.30
193909,67.37,2.20
193910,54.72,0.51
193911,42.30,0.30
193912,37.72,4.67
194001,23.83,-6.76
194002,33.85,-0.02
194003,41.52,-0.28
194004,50.23,-1.03
194005,60.85,0.44
194006,69.60,0.81
194007,74.14,0.31
194008,72.14,-0.20
194009,65.35,0.18
194010,56.08,1.87
194011,39.00,-3.00
194012,36.05,3.00
194101,32.20,1.61
194102,33.53,-0.34
194103,39.20,-2.60
194104,52.02,0.76
194105,62.33,1.92
194106,67.80,-0.99
194107,73.98,0.15
194108,72.07,-0.27
194109,64.53,-0.64
194110,55.20,0.99
194111,42.91,0.91
194112,36.12,3.07
194201,29.84,-0.75
194202,30.74,-3.13
194203,41.31,-0.49
194204,53.06,1.80
194205,59.09,-1.32
194206,67.91,-0.88
194207,73.96,0.13
194208,71.78,-0.56
194209,63.66,-1.51
194210,54.57,0.36
194211,43.16,1.16
194212,32.97,-0.08
194301,29.41,-1.18
194302,36.28,2.41
194303,38.50,-3.30
194304,52.88,1.62
194305,59.72,-0.69
194306,68.77,-0.02
194307,74.26,0.43
194308,73.45,1.11
194309,64.33,-0.84
194310,53.69,-0.52
194311,40.91,-1.09
194312,32.59,-0.46
194401,32.02,1.43
194402,34.50,0.63
194403,38.50,-3.30
194404,48.97,-2.29
194405,62.02,1.61
194406,68.36,-0.43
194407,72.79,-1.04
194408,72.10,-0.24
194409,65.26,0.09
